Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
Chashme Buddoor,1981.0,145.0,Comedy,8.0,2328.0,Sai Paranjape,Farooq Shaikh,Deepti Naval,Saeed Jaffrey,5.838155136268345,7.459999999999999,6.6,7.133333333333334,6.033333333333334
Chatpati,1983.0,130.0,Comedy,5.9,7.0,V. Ravindra,Smita Patil,Raj Kiran,Reema Lagoo,5.838155136268345,5.9,6.628571428571428,6.15,6.0
Chatur Singh Two Star,2011.0,150.0,Action,1.7,624.0,Ajay Chandhok,Sanjay Dutt,Ameesha Patel,Anupam Kher,5.543406229290921,3.1399999999999997,5.255357142857143,4.1125,5.445454545454545
Chauhar,2017.0,123.0,Drama,6.8,15.0,Raghubeer Singh,Muntazir Ahmad,Richa Dixit,Vivek Jha,6.271282051282052,6.8,5.7,6.8,6.8
Chauraha,1994.0,154.0,Action,3.9,25.0,Sadaqat Hussein,Jeetendra,Jackie Shroff,Jaya Prada,5.543406229290921,3.9,5.389411764705883,5.046153846153846,5.446153846153846
Chauranga,2014.0,88.0,Drama,6.5,299.0,Bikas Ranjan Mishra,Sanjay Suri,Tannishtha Chatterjee,Riddhi Sen,6.271282051282052,6.5,6.966666666666666,7.033333333333334,6.5
Chausar,2018.0,85.0,Drama,6.4,82.0,Sagar Sarhadi,Sanjeev Giriwer,Nawazuddin Siddiqui,Amruta Subhash,6.271282051282052,6.4,6.4,6.9,6.333333333333333
Cheeni Kum,2007.0,140.0,Comedy,6.8,4997.0,R. Balki,Amitabh Bachchan,Tabu,Paresh Rawal,5.838155136268345,6.9,6.122340425531915,5.861111111111111,5.359090909090909
Chef,2017.0,133.0,Comedy,5.7,2229.0,Raja Menon,Saif Ali Khan,Padmapriya,Svar Kamble,5.838155136268345,6.833333333333333,5.5,5.7,5.7
Chehere,2015.0,106.0,Thriller,5.8,22.0,Rohit Kaushik,Divya Dutta,Manisha Koirala,Jackie Shroff,5.382558139534884,5.8,5.6000000000000005,5.110526315789474,5.535294117647059
Chehraa,2005.0,136.0,Thriller,3.8,140.0,Saurabh Shukla,Bipasha Basu,Dino Morea,Preeti Jhangiani,5.382558139534884,5.3,4.2625,4.666666666666667,3.75
Chehre Pe Chehra,1981.0,140.0,Drama,6.1,53.0,Raj Tilak,Sanjeev Kumar,Rekha,Vinod Mehra,6.271282051282052,6.65,6.58,5.821276595744681,6.033333333333333
Cheluvi,1992.0,102.0,Drama,7.5,86.0,Girish Karnad,Girish Karnad,Sonali Kulkarni,Prashant Rao,6.271282051282052,7.2,7.0200000000000005,6.371428571428572,7.5
